,date,equity_curve,benchmark,year
23,1994-01-07,12581.14566040039,28.120866775512695,1994
24,1994-01-14,12581.14566040039,28.345081329345703,1994
25,1994-01-21,12581.14566040039,28.326385498046875,1994
26,1994-01-28,12581.14566040039,28.625364303588867,1994
27,1994-02-04,12581.14566040039,28.083484649658203,1994
28,1994-02-11,12581.14566040039,28.195587158203125,1994
29,1994-02-18,12506.138874053957,28.02743911743164,1994
30,1994-02-25,12489.477504730225,27.990060806274414,1994
31,1994-03-04,12456.14370727539,27.915325164794922,1994
32,1994-03-11,12497.802234649658,28.008756637573242,1994
33,1994-03-18,12603.401084899902,28.2454891204834,1994
34,1994-03-25,12603.401084899902,27.62533187866211,1994
35,1994-04-01,12603.401084899902,26.817232131958008,1994
36,1994-04-08,12603.401084899902,26.873620986938477,1994
37,1994-04-15,12603.401084899902,26.817232131958008,1994
38,1994-04-22,12603.401084899902,26.976985931396484,1994
39,1994-04-29,12669.22972869873,27.117919921875,1994
40,1994-05-06,12572.691324234009,26.91120719909668,1994
41,1994-05-13,12506.871587753296,26.770261764526367,1994
42,1994-05-20,12506.871587753296,27.39980697631836,1994
43,1994-05-27,12506.871587753296,27.587751388549805,1994
44,1994-06-03,12506.871587753296,27.80385971069336,1994
45,1994-06-10,12506.871587753296,27.728694915771484,1994
46,1994-06-17,12506.871587753296,27.7701416015625,1994
47,1994-06-24,12506.871587753296,26.672941207885742,1994
48,1994-07-01,12506.871587753296,26.97562599182129,1994
49,1994-07-08,12603.212762832642,27.1837158203125,1994
50,1994-07-15,12738.968564987184,27.476926803588867,1994
51,1994-07-22,12725.840364456177,27.44855308532715,1994
52,1994-07-29,12883.478561401367,27.78905487060547,1994
53,1994-08-05,12848.455602645874,27.713380813598633,1994
54,1994-08-12,12848.455602645874,28.044429779052734,1994
55,1994-08-19,12848.455602645874,28.1011905670166,1994
56,1994-08-26,12848.455602645874,28.867321014404297,1994
57,1994-09-02,12848.455602645874,28.630859375,1994
58,1994-09-09,12848.455602645874,28.451156616210938,1994
59,1994-09-16,12848.455602645874,28.633705139160156,1994
60,1994-09-23,12848.455602645874,27.95807647705078,1994
61,1994-09-30,12848.455602645874,28.119861602783203,1994
62,1994-10-07,12848.455602645874,27.682096481323242,1994
63,1994-10-14,13298.824682235718,28.652748107910156,1994
64,1994-10-21,13298.824682235718,28.357742309570312,1994
65,1994-10-28,13298.824682235718,29.02387237548828,1994
66,1994-11-04,13298.824682235718,28.214994430541992,1994
67,1994-11-11,13298.824682235718,28.26258087158203,1994
68,1994-11-18,13298.824682235718,28.300642013549805,1994
69,1994-11-25,13298.824682235718,27.691621780395508,1994
70,1994-12-02,13298.824682235718,27.74871826171875,1994
71,1994-12-09,13148.404458999634,27.434690475463867,1994
72,1994-12-16,13459.937000274658,28.08507537841797,1994
73,1994-12-23,13551.823417663574,28.276899337768555,1994
74,1994-12-30,13404.800033569336,27.96996307373047,1994
75,1995-01-06,13404.800033569336,28.267303466796875,1995
76,1995-01-13,13404.800033569336,28.689350128173828,1995
77,1995-01-20,13404.800033569336,28.574249267578125,1995
78,1995-01-27,13404.800033569336,28.919570922851562,1995
79,1995-02-03,13404.800033569336,29.485464096069336,1995
80,1995-02-10,13404.800033569336,29.686904907226562,1995
81,1995-02-17,13404.800033569336,29.744474411010742,1995
82,1995-02-24,13404.800033569336,30.080177307128906,1995
83,1995-03-03,13404.800033569336,29.945892333984375,1995
84,1995-03-10,13404.800033569336,30.243234634399414,1995
85,1995-03-17,13404.800033569336,30.590158462524414,1995
